date,demand,loadShed,rainfall,apparent_temperature
2016-06-28,,,1.2,33.5
2016-06-29,875,0,1.1,34
2016-06-30,932,0,1.2,33
2016-07-01,886,0,3.4,31.3
2016-07-02,828,0,27.3,29.9
2016-07-03,809,0,51.9,29.5
2016-07-04,719,0,101.1,29.6
2016-07-05,733,0,119.9,30.3
2016-07-06,749,0,42.2,29.7
2016-07-07,642,0,11.8,32.2
2016-07-08,741,0,13,32.4
2016-07-09,851,0,14.4,30.4
2016-07-10,789,0,23.9,30.2
2016-07-11,930,0,14.2,29.9
2016-07-12,870,0,11.1,30.9
2016-07-13,928,0,11.3,31.2
2016-07-14,927,0,9.3,32
2016-07-15,736,0,37.6,30.7
2016-07-16,906,0,47,29.7
2016-07-17,941,0,31,29.6
2016-07-18,930,0,7.6,31.1
2016-07-19,1012,0,8.6,31.1
2016-07-20,1035,0,7.6,31.6
2016-07-21,919,0,2.9,31
2016-07-22,930,0,1.6,30.7
2016-07-23,994,0,9.4,30.5
2016-07-24,974,0,10.8,29.8
2016-07-25,909,0,15.7,29.1
2016-07-26,920,22,3,31.4
2016-07-27,928,0,0.8,33.3
2016-07-28,947,0,2.6,34
2016-07-29,873,0,14.9,33.6
2016-07-30,990,0,8.8,33.7
2016-07-31,950,37,6.3,33.3
2016-08-01,890,0,11.3,31.5
2016-08-02,906,0,2.5,31.2
2016-08-03,926,0,3.3,31.3
2016-08-04,900,29,2.9,31.1
2016-08-05,934,0,4.5,30.1
2016-08-06,976,0,11.6,29.6
2016-08-07,930,44,15.3,29.9
2016-08-08,955,15,19.8,30.6
2016-08-09,840,26,31,28.4
2016-08-10,779,0,38.3,28.4
2016-08-11,913,0,23.2,30
2016-08-12,910,0,17.4,31.1
2016-08-13,861,24,17,31.9
2016-08-14,956,0,20.1,31.9
2016-08-15,812,0,5.4,32.6
2016-08-16,961,0,29,31.3
2016-08-17,863,0,28.7,29
2016-08-18,987,0,3.7,31.8
2016-08-19,820,0,0.1,33.2
2016-08-20,930,25,6.4,33.6
2016-08-21,,,261.1,29.5
2016-08-22,930,38,0,31.8
2016-08-23,1017,0,0.8,33.3
2016-08-24,1080,50,2,34.9
2016-08-25,945,64,1.3,35
2016-08-26,830,43,2.6,35.1
2016-08-27,940,29,17.3,33.2
2016-08-28,1020,44,4.7,33.5
2016-08-29,940,35,2.5,34.2
2016-08-30,935,27,4.8,32.8
2016-08-31,1037,38,22.9,30.9
2016-09-01,920,36,33.3,30.5
2016-09-02,960,49,19,30.6
2016-09-03,950,40,22.2,30.7
2016-09-04,942,52,12,29.9
2016-09-05,990,45,8.1,30.1
2016-09-06,985,40,10.2,30.5
2016-09-07,1080,31,0.8,31.7
2016-09-08,962,0,0.5,32.2
2016-09-09,1080,26,0.9,32.8
2016-09-10,932,28,4.1,32.2
2016-09-11,951,0,8.8,32.6
2016-09-12,785,0,6.5,31.3
2016-09-13,693,0,0,32
2016-09-14,783,0,0.2,33.9
2016-09-15,894,0,0.3,33.9
2016-09-16,894,0,8.9,33.6
2016-09-17,902,0,16.5,32
2016-09-18,1020,26,4.1,33.1
2016-09-19,957,0,11,33.5
2016-09-20,935,10,8.5,33.9
2016-09-21,927,0,5.8,33.9
2016-09-22,884,0,5.8,33.8
2016-09-23,863,0,2.3,33.4
2016-09-24,969,0,5,32.6
2016-09-25,881,0,3.8,33.5
2016-09-26,1029,0,2.8,34.3
2016-09-27,754,0,10.9,33.9
2016-09-28,940,19,16.6,32.7
2016-09-29,954,0,3,33.5
2016-09-30,870,0,4.1,33.9
2016-10-01,1010,22,1.5,33.5
2016-10-02,940,17,5.5,33.9
2016-10-03,890,21,16.4,33
2016-10-04,993,0,13.6,33
2016-10-05,972,20,12.3,32.4
2016-10-06,961,0,4.7,33.3
2016-10-07,912,0,2.7,32.9
2016-10-08,923,0,9.4,31.9
2016-10-09,949,0,18.9,31
2016-10-10,961,0,19.3,29.6
2016-10-11,842,0,35.6,29.1
2016-10-12,837,0,89.6,27.9
2016-10-13,848,0,14.7,29.8
2016-10-14,829,0,1.3,32.2
2016-10-15,923,0,0.3,33
2016-10-16,890,0,0.2,34.2
2016-10-17,895,15,1.2,34.3
2016-10-18,900,0,2.6,33.3
2016-10-19,967,0,1.2,33.9
2016-10-20,849,0,0.1,34
2016-10-21,817,0,0,33
2016-10-22,906,0,0,31.5
2016-10-23,862,0,0,30.1
2016-10-24,835,0,0,30.2
2016-10-25,897,0,0.2,32.3
2016-10-26,904,0,0.5,32.8
2016-10-27,896,0,8.4,32.1
2016-10-28,804,0,5.6,31.6
2016-10-29,911,0,1.2,31
2016-10-30,934,0,1.8,31.1
2016-10-31,911,0,1.5,32.4
2016-11-01,889,0,0.6,32.9
2016-11-02,922,0,0.1,33.6
2016-11-03,907,0,0.5,34.1
2016-11-04,819,0,11.2,29.7
2016-11-05,497,0,30.3,27.6
2016-11-06,684,0,5.8,27.6
2016-11-07,798,0,7.8,28.6
2016-11-08,831,0,0,28.5
2016-11-09,915,0,0,27.2
2016-11-10,834,0,0,28.7
2016-11-11,720,0,0,27.8
2016-11-12,810,0,0,26.6
2016-11-13,825,0,0,25.5
2016-11-14,841,0,0,26.4
2016-11-15,849,0,0,26.3
2016-11-16,818,0,0,27
2016-11-17,893,0,0,27.3
2016-11-18,735,0,0,26.3
2016-11-19,807,0,0,24.9
2016-11-20,761,0,0,24.1
2016-11-21,787,0,0,23.4
2016-11-22,826,0,0,23.1
2016-11-23,847,0,0,23.1
2016-11-24,813,0,0,22.8
2016-11-25,734,0,0,22.5
2016-11-26,797,0,0,23.6
2016-11-27,745,0,0,23.6
2016-11-28,771,0,0,24.1
2016-11-29,795,0,0,23.9
2016-11-30,767,0,0,24.6
2016-12-01,798,0,0.3,25.4
2016-12-02,733,0,0,27.2
2016-12-03,877,0,0,27.1
2016-12-04,833,0,0,25.6
2016-12-05,811,0,0,25.5
2016-12-06,825,0,0,24.8
2016-12-07,882,0,0,24.6
2016-12-08,862,0,0,24.1
2016-12-09,733,0,0,24
2016-12-10,789,0,0,24.8
2016-12-11,804,0,0,25.8
2016-12-12,833,0,0,24.5
2016-12-13,755,0,0,22.5
2016-12-14,789,0,0,21.8
2016-12-15,820,0,0,21.8
2016-12-16,616,0,0,23.1
2016-12-17,782,0,0,22.8
2016-12-18,810,0,0,23
2016-12-19,831,0,0,21.6
2016-12-20,,,0,21.7
2016-12-21,806,0,0,21.6
2016-12-22,796,0,0,22.7
2016-12-23,682,0,0,23.2
2016-12-24,850,0,0,23.8
2016-12-25,822,0,0,23.2
2016-12-26,802,0,0,23.4
2016-12-27,768,0,0,22.6
2016-12-28,880,0,0,22.3
2016-12-29,823,0,0,22.9
2016-12-30,693,0,0,23
2016-12-31,777,0,0,22.2
2017-01-01,800,0,0,21.8
2017-01-02,803,0,0,22.5
2017-01-03,770,0,0,22.7
2017-01-04,779,0,0,22.2
2017-01-05,826,0,0,21.5
2017-01-06,665,0,0,20.8
2017-01-07,764,0,0,20.6
2017-01-08,764,0,0,20.4
2017-01-09,780,0,0,20.7
2017-01-10,778,0,0,20.9
2017-01-11,786,0,0,19.5
2017-01-12,779,0,0,17.9
2017-01-13,725,0,0,16.1
2017-01-14,817,0,0,15.7
2017-01-15,785,0,0,17.4
2017-01-16,740,0,0,18.3
2017-01-17,763,0,0,18.8
2017-01-18,820,0,0,19.4
2017-01-19,,,0,20.3
2017-01-20,663,0,0,20.3
2017-01-21,798,0,0,20.1
2017-01-22,748,0,0,20.7
2017-01-23,819,0,0,20.7
2017-01-24,882,0,0,21.1
2017-01-25,788,0,0,22
2017-01-26,991,0,0,22.3
2017-01-27,675,0,0,22.3
2017-01-28,820,0,0,23.8
2017-01-29,817,0,0,22.6
2017-01-30,800,0,0,21.2
2017-01-31,806,0,0,20.9
2017-02-01,813,0,0,21.2
2017-02-02,794,0,0,20.9
2017-02-03,690,0,0,20.5
2017-02-04,799,0,0,21.9
2017-02-05,773,0,0,22.6
2017-02-06,802,0,0,23.4
2017-02-07,838,0,0,23.2
2017-02-08,841,0,0,23.4
2017-02-09,819,0,0,21.9
2017-02-10,721,0,0,21.9
2017-02-11,751,0,0,23.7
2017-02-12,781,0,0,24.3
2017-02-13,859,0,0,24.4
2017-02-14,849,0,0,24.6
2017-02-15,849,0,0,23.9
2017-02-16,791,0,0,23.9
2017-02-17,726,0,0,24.3
2017-02-18,836,0,0,24.8
2017-02-19,825,0,0,26.7
2017-02-20,838,0,0.1,25.9
2017-02-21,738,0,0,26.2
2017-02-22,869,0,0,26.5
2017-02-23,875,0,0,26.9
2017-02-24,786,0,0.1,27.4
2017-02-25,828,0,0,23.5
2017-02-26,815,0,0,23.7
2017-02-27,867,0,0,25
2017-02-28,815,0,0,24.5
2017-03-01,801,0,0,24.5
2017-03-02,817,0,0,25.2
2017-03-03,792,0,0,27.1
2017-03-04,875,0,0,26.6
2017-03-05,740,0,0,26.9
2017-03-06,863,0,5.7,26.3
2017-03-07,815,0,0.1,28.8
2017-03-08,780,0,0.1,28.6
2017-03-09,846,0,1.7,26.8
2017-03-10,709,0,15.8,26.9
2017-03-11,751,0,24.3,26.5
2017-03-12,814,0,77.2,26.7
2017-03-13,823,0,1,26.4
2017-03-14,810,0,0,22.7
2017-03-15,820,0,0,22.6
2017-03-16,809,0,0,22.9
2017-03-17,801,0,0,23.9
