date,power_demand,load_shed,rainfall,mean_temperature,mean_apparent_temperature,relativehumidity_2m,windspeed_10m,windspeed_100m,daytime_length,dewpoint_2m,cloudcover,soil_temperature_0_to_7cm
2019-01-01,308,0,0,16.1,15.7,0,0,0,10.616666666666667,0,0,0
2019-01-02,309,0,0,16.4,16.1,68.54166666666667,3.3750000000000004,6.300000000000001,10.616666666666667,9.633333333333335,0.5,16.816666666666666
2019-01-03,310,0,0,15.8,15.6,70.08333333333333,3.2875,5.308333333333333,10.633333333333333,10.420833333333333,0,16.970833333333335
2019-01-04,300,0,0,15.7,15.4,73.08333333333333,3.3458333333333337,5.737500000000001,10.65,10.454166666666666,1.0416666666666667,17.191666666666666
2019-01-05,320,0,0,16.7,16.5,73.83333333333333,3.3874999999999997,5.358333333333334,10.65,10.458333333333332,0.9583333333333334,17.22083333333333
2019-01-06,311,0,0,17.9,18.3,68.75,3.5124999999999993,5.958333333333332,10.65,10.466666666666669,1.5416666666666667,17.208333333333332
2019-01-07,308,0,0,18.5,18.8,71.125,2.7708333333333335,4.979166666666665,10.666666666666666,12.091666666666667,8.5,17.9625
2019-01-08,311,0,0,17.3,17.6,69.45833333333333,3.3708333333333336,5.45,10.683333333333334,12.237499999999999,0,18.3875
2019-01-09,299,0,0,17.1,17.3,73.04166666666667,2.8499999999999996,4.75,10.683333333333334,11.908333333333331,0.5416666666666666,18.316666666666666
2019-01-10,306,0,0,16.5,16.5,72.83333333333333,3.3416666666666672,6.416666666666665,10.7,11.666666666666666,1.8333333333333333,18.30833333333333
2019-01-11,306,0,0,16.8,16.8,73.375,2.9249999999999994,4.845833333333333,10.7,11.183333333333335,4.166666666666667,18.07916666666667
2019-01-12,315,0,0,17.4,17.2,71.58333333333333,3.2208333333333328,5.529166666666666,10.716666666666667,11.170833333333334,0.5,17.9875
2019-01-13,311,0,0,18.1,18.4,67.29166666666667,3.6333333333333324,6.504166666666666,10.716666666666667,10.629166666666666,0,18.091666666666665
2019-01-14,311,0,0,17.2,17.5,69.33333333333333,3.0124999999999997,4.937499999999999,10.733333333333333,11.9625,0,18.529166666666665
2019-01-15,299,0,0,16.9,17.2,75.20833333333333,3.058333333333333,5.558333333333333,10.75,12.195833333333335,0.875,18.599999999999998
2019-01-16,309,0,0,17.9,17.8,76.70833333333333,3.0250000000000004,5.004166666666666,10.766666666666667,12.216666666666667,13.708333333333334,18.67916666666667
2019-01-17,310,0,0,17.9,17.6,67.91666666666667,4.0791666666666675,6.916666666666669,10.766666666666667,10.966666666666667,0.08333333333333333,18.679166666666667
2019-01-18,299,0,0,17.5,17.5,65.58333333333333,4.345833333333333,6.591666666666666,10.8,10.629166666666665,0,18.84166666666667
2019-01-19,327,0,0,17.3,17.3,68.875,3.3625000000000007,5.533333333333332,10.816666666666666,11.129166666666668,0.125,19.03333333333334
2019-01-20,314,0,0,17.2,17.4,69.41666666666667,3.008333333333333,5.320833333333334,10.833333333333334,10.916666666666666,2.2083333333333335,18.90833333333333
2019-01-21,320,0,0,18.1,18.5,71,2.6625,5.420833333333332,10.833333333333334,11.270833333333336,5.083333333333333,18.912499999999998
2019-01-22,306,0,0,18.4,18.7,71.33333333333333,3.2083333333333335,5.279166666666667,10.85,12.262500000000001,4.041666666666667,19.349999999999998
2019-01-23,320,0,0,18.7,19.2,69.25,3.045833333333334,6.170833333333333,10.866666666666667,12,2.5833333333333335,19.6375
2019-01-25,301,0,0,20,21.1,74.16666666666667,3.679166666666667,5.670833333333333,10.9,13.933333333333337,0.5,20.675
2019-01-26,319,0,0,20.6,21.5,73.41666666666667,3.3625000000000003,6.2375,10.916666666666666,14.554166666666667,0.75,21.27916666666666
2019-01-27,314,0,0,21.2,22.3,68.58333333333333,3.4250000000000007,6.441666666666666,10.95,13.854166666666666,19.375,21.562499999999996
2019-01-28,316,0,0.1,20.5,21.5,67.45833333333333,3.2999999999999994,6.3166666666666655,10.95,14.416666666666664,26.75,22.7
2019-01-29,307,0,0.5,19.1,19.5,69.16666666666667,2.841666666666667,5.016666666666667,10.966666666666667,14.074999999999998,39.166666666666664,22.325
2019-01-30,258,0,0,17,16.7,71.58333333333333,4.470833333333333,7.762499999999999,11,13.304166666666665,21.083333333333332,21.016666666666666
2019-01-31,318,0,0,18.8,18.5,64.75,2.9749999999999996,4.9625,11.016666666666667,9.483333333333333,0.125,19.6125
2019-02-01,306,0,0,19.7,19.6,61.958333333333336,4.320833333333334,6.0249999999999995,11.016666666666667,10.604166666666668,0.125,19.929166666666667
2019-02-02,313,0,0,18.8,18.9,60.583333333333336,4.095833333333332,6.525000000000001,11.05,11.187500000000002,8.916666666666666,20.475000000000005
2019-02-03,322,0,0,18.6,18.8,65.33333333333333,3.2583333333333333,5.058333333333334,11.066666666666666,11.33333333333333,1.7916666666666667,20.86666666666667
2019-02-04,321,0,0,18.4,18.3,66.54166666666667,3.045833333333333,5.150000000000001,11.1,11.4125,0.125,20.7375
2019-02-05,322,0,0,19.4,19.9,65.375,3.6625,5.975000000000001,11.1,10.716666666666667,2.0416666666666665,20.47083333333333
2019-02-06,334,0,0,18.5,18.8,67.20833333333333,3.2083333333333326,5.270833333333334,11.133333333333333,12.458333333333336,19.458333333333332,21.075000000000003
2019-02-07,331,0,0,19.3,19.7,70.08333333333333,3.233333333333334,5.6875,11.15,12.058333333333332,10.125,20.833333333333332
2019-02-08,313,0,0,21.2,22.3,67,3.0999999999999996,6.1375,11.166666666666666,12.087500000000004,11.583333333333334,21.337500000000002
2019-02-09,325,0,1.7,21.3,22.2,67.5,3.666666666666666,6.7625,11.2,14.320833333333338,25.791666666666668,22.470833333333335
2019-02-10,326,0,0,20.5,20.6,70.04166666666667,6.158333333333332,12.016666666666671,11.216666666666667,15.245833333333335,35.041666666666664,22.433333333333334
2019-02-11,327,0,0,19.1,19.1,60.291666666666664,5.000000000000001,9.075,11.233333333333333,12.025,18.375,22.787499999999998
2019-02-12,325,0,0,19.2,19.5,62.25,3.441666666666667,6.399999999999999,11.25,10.983333333333333,1.6666666666666667,21.033333333333335
2019-02-13,328,0,0,20.2,20.9,65.20833333333333,3.2499999999999996,5.983333333333334,11.266666666666667,11.679166666666665,9.166666666666666,21.14166666666667
2019-02-14,305,0,0,20.7,21.3,66.83333333333333,3.462499999999999,5.512499999999999,11.3,13.0625,10.958333333333334,21.79166666666666
2019-02-15,301,0,0,21.4,22.4,62.916666666666664,2.8499999999999996,5.375,11.316666666666666,12.295833333333334,1.875,22.425000000000008
2019-02-16,326,0,0,20.7,21.4,65.875,3.5583333333333336,6.091666666666666,11.333333333333334,14.104166666666664,16.25,23.145833333333332
2019-02-17,307,0,7.3,18.1,19.2,68.58333333333333,4.891666666666667,8.037500000000001,11.366666666666667,14.200000000000001,38.458333333333336,22.041666666666668
2019-02-18,311,0,0,18.2,18.8,81.875,3.2875,5.708333333333333,11.4,14.795833333333333,36.125,19.966666666666665
2019-02-19,311,0,0,19.2,19.6,76.66666666666667,4.133333333333332,7.054166666666666,11.416666666666666,13.616666666666667,34.125,20.329166666666666
2019-02-20,319,0,1.7,20.3,21.4,67.41666666666667,3.9791666666666665,6.999999999999999,11.433333333333334,12.437499999999998,6.541666666666667,21.00416666666667
2019-02-21,315,0,0,21.1,22.4,71.41666666666667,3.754166666666666,5.870833333333334,11.45,14.649999999999999,26.166666666666668,21.7375
2019-02-22,302,0,0,21.3,22.6,70.20833333333333,3.7541666666666664,6.7250000000000005,11.483333333333333,14.950000000000003,20.541666666666668,22.79166666666666
2019-02-23,324,0,0.4,22.7,24.6,70.91666666666667,4.320833333333334,6.554166666666667,11.516666666666667,15.266666666666667,26.708333333333332,23.095833333333335
2019-02-24,324,0,0,22.6,23.9,72.375,4.825,7.7749999999999995,11.533333333333333,17.07916666666667,24.75,23.90416666666667
2019-02-25,314,0,0.2,19.5,19.4,65.45833333333333,4.662499999999999,6.504166666666667,11.55,14.84583333333333,7.208333333333333,24.295833333333334
2019-02-26,310,0,12.8,18.7,20.3,64.08333333333333,5.229166666666667,9.229166666666666,11.566666666666666,12.020833333333334,56.625,21.383333333333336
2019-02-27,254,0,9.6,19.5,21.2,85.66666666666667,3.7875,6.962499999999999,11.6,16.183333333333334,79.625,20.158333333333335
2019-02-28,314,0,16.7,18.6,20.3,85.33333333333333,4.925,8.616666666666665,11.616666666666667,16.816666666666666,81.45833333333333,20.866666666666664
2019-03-01,284,0,0.4,18.5,19.5,88.95833333333333,4.158333333333334,7.591666666666669,11.65,16.675,74.41666666666667,20.1125
2019-03-03,311,0,0,18.9,19.9,71.25,4.025000000000001,7.500000000000001,11.7,12.545833333333333,2.8333333333333335,19.25
2019-03-04,322,0,0,19.5,20.7,74.91666666666667,3.6833333333333322,6.491666666666666,11.716666666666667,13.825000000000001,14,20.116666666666664
2019-03-05,313,0,1.8,19.7,21.1,77.20833333333333,4.104166666666666,6.200000000000002,11.75,15.033333333333331,22.208333333333332,20.491666666666664
2019-03-06,320,0,1.6,20.9,22.8,80.95833333333333,5.3875,9.133333333333331,11.766666666666667,16.179166666666667,69.33333333333333,20.645833333333332
2019-03-07,314,0,0.1,20.9,22.9,81.45833333333333,5.541666666666667,8.641666666666664,11.783333333333333,17.399999999999995,54.625,21.612499999999997
2019-03-08,301,0,0,20.8,21.5,77.95833333333333,3.7416666666666667,6.483333333333334,11.8,16.704166666666666,21.208333333333332,21.933333333333334
2019-03-09,332,0,0,19.2,19.3,67.16666666666667,6.216666666666668,11.174999999999999,11.833333333333334,13.758333333333335,5.916666666666667,21.8125
2019-03-10,304,0,0,20.1,20.8,64.29166666666667,4.895833333333333,8.35416666666667,11.85,11.529166666666667,2.3333333333333335,20.575
2019-03-11,343,0,0.3,22,24.1,67.83333333333333,3.5833333333333335,6.216666666666665,11.883333333333333,13.379166666666672,12.083333333333334,20.979166666666664
2019-03-12,340,0,0.2,22.5,24.7,73.5,3.654166666666667,6.058333333333334,11.9,16.749999999999996,19.583333333333332,22.925
2019-03-13,373,0,0.2,23.6,26.3,75.79166666666667,4.7749999999999995,7.333333333333333,11.933333333333334,17.520833333333332,9.25,23.48333333333333
2019-03-14,376,0,0,24,26.7,74.70833333333333,5.395833333333333,8.179166666666665,11.95,18.437500000000004,19.291666666666668,24.583333333333332
