date,power_demand,load_shed,rainfall,mean_temperature,mean_apparent_temperature,relativehumidity_2m,windspeed_10m,windspeed_100m,daytime_length,dewpoint_2m,cloudcover,soil_temperature_0_to_7cm
2022-06-22,860,0,2,27.9,33.6,95.04166666666667,5.500000000000001,10.854166666666664,13.75,24.829166666666666,81.5,26.400000000000006
2022-06-23,840,0,3.4,28.4,33.9,85.33333333333333,6.724999999999999,11.962499999999999,13.75,25.04166666666667,58.75,28.033333333333335
2022-06-24,837,0,2.4,28.5,33.6,83.41666666666667,8.870833333333334,15.487499999999999,13.733333333333333,25.17083333333333,75.79166666666667,28.600000000000005
2022-06-25,878,0,1.5,28.5,33.4,81.125,10.345833333333331,17.045833333333334,13.733333333333333,24.83333333333334,65.875,28.96666666666667
2022-06-26,872,0,3,28.7,34.2,79.41666666666667,10.816666666666665,17.5875,13.75,24.512500000000003,55.708333333333336,29.070833333333336
2022-06-27,812,0,2.4,28.9,34.7,81.91666666666667,9.0375,14.954166666666667,13.733333333333333,25.166666666666668,70.54166666666667,29.400000000000002
2022-06-28,761,0,15.4,27.9,33.7,80.79166666666667,7.925000000000001,13.979166666666666,13.733333333333333,25.17916666666667,75.29166666666667,29.462500000000002
2022-06-29,796,0,28.1,26.3,32.1,86.58333333333333,8.012499999999998,15.433333333333332,13.733333333333333,25.329166666666666,91.25,28.5625
2022-06-30,829,0,2,27,32.8,93.95833333333333,7.920833333333333,14.383333333333333,13.733333333333333,25.27083333333334,73.70833333333333,27.075
2022-07-01,877,0,6.8,27.6,33.5,89.91666666666667,7.554166666666667,13.19166666666667,13.716666666666667,25.195833333333336,73.70833333333333,27.59166666666667
2022-07-02,791,0,3.7,28.5,34.6,87.83333333333333,8.000000000000002,14.445833333333331,13.716666666666667,25.38333333333333,84.95833333333333,28.10416666666666
2022-07-03,777,150,0.4,29.1,34.8,84.04166666666667,6.650000000000001,11.491666666666669,13.716666666666667,25.395833333333332,66.58333333333333,28.983333333333334
2022-07-04,793,0,0.3,29.5,35.3,80.16666666666667,8.429166666666669,14.820833333333335,13.7,25.15416666666667,63.875,29.71666666666667
2022-07-05,792,40,1.8,30.1,36.8,77.79166666666667,8.08333333333333,13.641666666666666,13.7,25.087500000000002,38.083333333333336,30.333333333333332
2022-07-06,891,48,1.1,28.6,33.6,79.45833333333333,6.512499999999998,10.533333333333333,13.683333333333334,25.991666666666664,38.666666666666664,31.054166666666664
2022-07-07,921,0,0.1,29.4,34.9,79.125,11.420833333333334,18.533333333333335,13.683333333333334,24.6125,45.333333333333336,30.016666666666666
