date,demand,loadShed,rainfall,apparent_temperature
2020-06-19,3252,0,11.1,32.9
2020-06-20,3613,0,1.2,33.1
2020-06-21,3464,0,3,32
2020-06-22,3678,0,5.2,32.6
2020-06-23,3751,0,3.2,33.5
2020-06-24,3875,0,1.1,35.3
2020-06-25,3862,0,0.6,35.2
2020-06-26,3489,0,9,33.8
2020-06-27,3649,0,33.8,33
2020-06-28,3539,0,49.2,32.4
2020-06-29,3784,0,19.8,32.9
2020-06-30,3770,0,2.7,34.5
2020-07-01,3923,0,7.8,35.1
2020-07-02,3946,0,2.7,34.6
2020-07-03,3521,0,0.9,35.4
2020-07-04,3864,0,17.5,33.9
2020-07-05,3745,0,6.8,31.8
2020-07-06,3696,0,6.4,32.5
2020-07-07,3895,0,4,33
2020-07-08,3889,0,14,33.5
2020-07-09,3887,0,22.4,32.6
2020-07-10,3530,0,14.3,32.9
2020-07-11,3628,0,33.9,32.1
2020-07-12,3546,0,24.4,32.2
2020-07-13,3911,0,12,33
2020-07-14,3893,0,11.5,32.7
2020-07-15,3934,0,6.2,32.8
2020-07-16,3872,0,0.9,33.8
2020-07-17,3587,0,6.8,34.3
2020-07-18,3942,0,3.1,34.3
2020-07-19,3935,0,13.7,33.5
2020-07-20,,,20.3,32.5
2020-07-21,3620,0,29.8,32.2
2020-07-22,3806,0,34.8,32.3
2020-07-23,3814,0,7,32.4
2020-07-24,3436,0,5.7,32.5
2020-07-25,3970,0,0.4,34.6
2020-07-26,4095,0,0.3,36.1
2020-07-27,3870,0,12.7,35.6
2020-07-28,3705,0,17,34.5
2020-07-29,3579,0,9.2,33
2020-07-30,3158,0,1.5,34.1
2020-07-31,2822,0,0.5,35.5
2020-08-01,2884,0,0.7,36.9
2020-08-02,2898,0,2.4,37.3
2020-08-03,3013,0,11.6,37.4
2020-08-04,3041,0,35.8,34.4
2020-08-05,3054,0,14.9,33.2
2020-08-06,3173,0,10.8,32.7
2020-08-07,3225,0,5.8,34
2020-08-08,3581,0,0.9,34.2
2020-08-09,3728,0,0.9,34.3
2020-08-10,3837,0,0.7,34.3
2020-08-11,3848,0,5.7,33.9
2020-08-12,3949,0,5.2,33.7
2020-08-13,4022,0,0.8,34.4
2020-08-14,3469,0,0.3,34.3
2020-08-15,3308,0,2.8,31.4
2020-08-16,3772,0,5.4,31.9
2020-08-17,3804,0,2.3,32.1
2020-08-18,3532,0,8.7,32.7
2020-08-19,3755,0,7.8,30.8
2020-08-20,3611,0,20.8,29.4
2020-08-21,3172,0,18.6,30.2
2020-08-22,3692,0,24.8,31.1
2020-08-23,3927,0,14.4,32.6
2020-08-24,4075,0,2,33.5
2020-08-25,3888,0,3.3,33.1
2020-08-26,3843,0,12.4,30.1
2020-08-27,3836,0,4.8,31.9
2020-08-28,3479,0,2.8,32.9
2020-08-29,3877,0,0.5,34.9
2020-08-30,3864,0,1.7,35.6
2020-08-31,4228,0,9.8,35.2
2020-09-01,3755,0,21.8,33.2
2020-09-02,2898,0,1.8,33.7
2020-09-03,4129,0,0,34.7
2020-09-04,3766,0,0,35.4
2020-09-05,4142,0,0.2,35.4
2020-09-06,4088,0,0.4,35
2020-09-07,4021,0,6.4,35
2020-09-08,4125,0,3.6,35.4
2020-09-09,4074,0,4.2,35.3
2020-09-10,3979,0,31.2,33.8
2020-09-11,3517,0,5,33.9
2020-09-12,4039,0,3.6,34.5
2020-09-13,4139,0,2.7,35
2020-09-14,4034,0,5,33.7
2020-09-15,4061,0,9.7,33.4
2020-09-16,4103,0,8.2,33.5
2020-09-17,3910,0,5.8,34.3
2020-09-18,3609,0,0.6,36.3
2020-09-19,4311,0,0,37
2020-09-20,4274,0,2.1,37
2020-09-21,4202,0,13.7,31.3
2020-09-22,4107,0,13,31.9
2020-09-23,3981,0,8.9,31.6
2020-09-24,4062,0,25.6,31.3
2020-09-25,3350,0,6.9,31.6
2020-09-26,3812,0,18.6,31.4
2020-09-27,3863,0,7.8,32.3
2020-09-28,4171,0,3.9,34.4
2020-09-29,4236,0,5.3,35.1
2020-09-30,4186,0,11.5,34.6
2020-10-01,3992,0,5.5,34.6
2020-10-02,3550,0,2,34.3
2020-10-03,4072,0,3.1,34.2
2020-10-04,4241,0,4.2,34.2
2020-10-05,4026,0,11.4,33.3
2020-10-06,4076,0,3.9,33
2020-10-07,4043,0,8.5,33.3
2020-10-08,4132,0,0.4,35
2020-10-09,3705,0,0,35.6
2020-10-10,4179,0,4,36.5
