date,demand,loadShed,rainfall,apparent_temperature
2017-01-01,2357,0,0,21.5
2017-01-02,2452,0,0,21
2017-01-03,2569,0,0,21.1
2017-01-04,2530,0,0,20.5
2017-01-05,2527,0,0,19.8
2017-01-06,2004,0,0,19.6
2017-01-07,2436,0,0,18.8
2017-01-08,2463,0,0,18.8
2017-01-09,2571,0,0,18.9
2017-01-10,2471,0,0,18.2
2017-01-11,2502,0,0,18.5
2017-01-12,2454,0,0,17.1
2017-01-13,1990,0,0,14.5
2017-01-14,2382,0,0,13.4
2017-01-15,,,0,15.3
2017-01-16,2427,0,0,16.4
2017-01-17,2432,0,0,17.4
2017-01-18,2496,0,0,18.1
2017-01-19,,,0,18.9
2017-01-20,2080,0,0,18.9
2017-01-21,2513,0,0,18.9
2017-01-22,2436,0,0,19.9
2017-01-23,2479,0,0,20.1
2017-01-24,2551,0,0,20.3
2017-01-25,2549,0,0,20.8
2017-01-26,2568,0,0,21.2
2017-01-27,2118,0,0,21.6
2017-01-28,2560,0,0.3,22.3
2017-01-29,2517,0,0,20.1
2017-01-30,2561,0,0,20.1
2017-01-31,2543,0,0,19.9
2017-02-01,2555,0,0,19.9
2017-02-02,2516,0,0,19.8
2017-02-03,2098,0,0,20
2017-02-04,2477,0,0,21.9
2017-02-05,2706,0,0,22.2
2017-02-06,2615,0,0,22.4
2017-02-07,2695,0,0,22.5
2017-02-08,2634,0,0,21.3
2017-02-09,2602,0,0,20.4
2017-02-10,2115,0,0,22.5
2017-02-11,2619,0,0,22.9
2017-02-12,2601,0,0,23.3
2017-02-13,2726,0,0,23.6
2017-02-14,2632,0,0.1,24.4
2017-02-15,2670,0,0,22.7
2017-02-16,2763,0,0,23.3
2017-02-17,2236,0,0,23.6
2017-02-18,2645,0,0,24.6
2017-02-19,2761,0,0,25.7
2017-02-20,2756,0,0.3,26.2
2017-02-21,2343,0,0.3,27.1
2017-02-22,2926,0,0.3,27
2017-02-23,2753,0,1.4,26.8
2017-02-24,2255,0,0,22.8
2017-02-25,2617,0,0,20.8
2017-02-26,2690,0,0,21.6
2017-02-27,2794,0,0,22.5
2017-02-28,2780,0,0,22.9
2017-03-01,2769,0,0,23.6
2017-03-02,2913,0,0,25.8
2017-03-03,2580,0,0.3,27.4
2017-03-04,2913,0,0,26.6
2017-03-05,2576,0,0.4,26.6
2017-03-06,2756,0,5,27
2017-03-07,2916,0,0,27.2
2017-03-08,2645,0,1.8,26.4
2017-03-09,2734,0,0,25.5
2017-03-10,2243,0,6.4,26.9
2017-03-11,2587,0,32.1,26.4
2017-03-12,2777,0,0.2,25.6
2017-03-13,2725,0,0,23
2017-03-14,2750,0,0,21.6
2017-03-15,2618,0,0,21.6
2017-03-16,2774,0,0,21.9
2017-03-17,2500,0,0.1,24.5
2017-03-18,2476,0,12.1,25.3
2017-03-19,2817,0,0.5,26
2017-03-20,2557,0,2,21.3
2017-03-21,2737,0,0,22.8
2017-03-22,2764,0,0,25.9
2017-03-23,2979,0,0.2,28
2017-03-24,2724,0,0,29.4
2017-03-25,2503,0,4.4,29.3
2017-03-26,2426,0,2.4,29.5
2017-03-27,3078,0,1.7,30.8
2017-03-28,3121,0,0.8,30.2
2017-03-29,3050,0,12.1,30
2017-03-30,2986,0,3.3,31.8
2017-03-31,2937,0,2.5,31.5
2017-04-01,3241,0,5.9,30.9
2017-04-02,3115,0,2.8,30.1
2017-04-03,3003,0,21.4,29.7
2017-04-04,3137,0,28.8,29.1
2017-04-05,2626,0,33.5,28.8
2017-04-06,3070,0,1.2,31.3
2017-04-07,2952,0,0,33.5
2017-04-08,3236,0,0.2,33.9
2017-04-09,3284,0,1.1,34.1
2017-04-10,3499,0,0,32.9
2017-04-11,3322,0,0,31.9
2017-04-12,3357,0,0,31.9
2017-04-13,3361,0,0,32.5
2017-04-14,2891,0,0,32.5
2017-04-15,3379,0,0.3,30.9
2017-04-16,3184,0,10,29.7
2017-04-17,3347,0,0,31.3
2017-04-18,3447,0,0.3,32.1
2017-04-19,2113,0,27.5,30.9
2017-04-20,3003,0,32.5,29.9
2017-04-21,2296,0,64.2,28.9
2017-04-22,2236,0,47.5,28.7
2017-04-23,2815,0,18.6,28.6
2017-04-24,2477,0,24,28.5
2017-04-25,3127,0,0.1,33.3
2017-04-26,3075,0,0.2,33.9
2017-04-27,3300,0,0,33.6
2017-04-28,3115,0,0.1,33.9
2017-04-29,3349,0,0,33.5
2017-04-30,3290,0,9.9,32.8
2017-05-01,2588,0,6.3,32.8
2017-05-02,3054,0,0.1,32.4
2017-05-03,3412,0,0.5,34.1
2017-05-04,3342,0,2.4,34.7
2017-05-05,3015,0,6.3,34.1
2017-05-06,3364,0,8.2,32.6
2017-05-07,3411,0,12.5,33.1
2017-05-08,3337,0,1.7,34.5
2017-05-09,3155,0,7.2,32.4
2017-05-10,3281,0,1.2,33.7
2017-05-11,3045,0,15.8,33.7
2017-05-12,3028,0,0.5,35.4
2017-05-13,2622,0,10.1,34.8
2017-05-14,3348,0,10.6,34.6
