time,apparent_temperature,rain,us_aqi
2023-10-07T12:00,35.5,0.1,76
2023-10-07T13:00,35.5,0.3,76
2023-10-07T14:00,32.9,2,76
2023-10-07T15:00,33.7,0.3,76
2023-10-07T16:00,34.8,0,76
2023-10-07T17:00,34.1,0.1,76
2023-10-07T18:00,32.5,0.4,76
2023-10-07T19:00,32.4,0.1,77
2023-10-07T20:00,32.1,0,79
2023-10-07T21:00,31.6,0.2,80
2023-10-07T22:00,31.4,0.2,81
2023-10-07T23:00,31.1,0.2,82
2023-10-08T00:00,31.2,0.1,82
2023-10-08T01:00,31.8,0.1,82
2023-10-08T02:00,31.4,0,82
2023-10-08T03:00,31.1,0.1,83
2023-10-08T04:00,30.9,0.2,84
2023-10-08T05:00,30.5,0.4,84
2023-10-08T06:00,30.8,0.5,85
2023-10-08T07:00,30.9,0.8,86
2023-10-08T08:00,31.3,0.7,87
2023-10-08T09:00,32.2,0.2,88
2023-10-08T10:00,33.9,0,89
2023-10-08T11:00,34.7,0.2,90
2023-10-08T12:00,35.3,0.1,92
2023-10-08T13:00,38.2,0.1,93
2023-10-08T14:00,37.7,0,93
2023-10-08T15:00,36.7,0.6,94
2023-10-08T16:00,36.8,0.5,94
2023-10-08T17:00,36.5,0,95
2023-10-08T18:00,34.8,0,97
2023-10-08T19:00,33.5,0,97
2023-10-08T20:00,32.6,0,97
2023-10-08T21:00,32.3,0,96
2023-10-08T22:00,32.2,0,96
2023-10-08T23:00,32,0,96
2023-10-09T00:00,31.8,0,96
2023-10-09T01:00,31.9,0,96
2023-10-09T02:00,31.8,0,97
2023-10-09T03:00,32.1,0,97
2023-10-09T04:00,31.7,0.2,97
2023-10-09T05:00,31,0.4,98
2023-10-09T06:00,30.9,0.3,98
2023-10-09T07:00,32.6,0.5,99
2023-10-09T08:00,33.8,0.7,99
2023-10-09T09:00,34.5,0.5,99
2023-10-09T10:00,33.5,1.3,98
2023-10-09T11:00,34.3,0.9,98
2023-10-09T12:00,36,0.4,97
2023-10-09T13:00,37.3,0,96
2023-10-09T14:00,37.7,0.1,96
2023-10-09T15:00,37.4,0.4,96
2023-10-09T16:00,36.5,0.2,96
2023-10-09T17:00,36,0.1,96
2023-10-09T18:00,35.2,0,95
