date,power_demand,load_shed,rainfall,mean_temperature,relativehumidity_2m,windspeed_100m,daytime_length
2019-01-01,847,0,0,19.5,0,0,10.783333333333333
2019-01-02,896,0,0,19,76.70833333333333,10.624999999999998,10.8
2019-01-03,819,0,0,19,76.91666666666667,9.65,10.8
2019-01-04,676,0,0,19.4,76.16666666666667,11.525,10.8
2019-01-05,798,0,0,19,66.58333333333333,17.27916666666667,10.816666666666666
2019-01-06,816,0,0,19.1,68.5,16.233333333333338,10.816666666666666
2019-01-07,891,0,0,19.2,74.04166666666667,13.183333333333332,10.833333333333334
2019-01-08,894,0,0,20,79.875,9.3125,10.85
2019-01-09,875,0,0,19.7,77.70833333333333,11.083333333333334,10.833333333333334
2019-01-10,892,0,0,19.7,73.41666666666667,13.554166666666669,10.85
2019-01-11,691,0,0,19.2,67.875,17.70416666666667,10.866666666666667
2019-01-12,835,0,0,19.5,69.33333333333333,15.375,10.883333333333333
2019-01-13,891,0,0,19.7,71.91666666666667,13.520833333333336,10.883333333333333
2019-01-14,931,0,0,19.7,71.66666666666667,13.191666666666663,10.9
2019-01-15,833,0,0,20.1,72.41666666666667,14.424999999999999,10.916666666666666
2019-01-16,855,0,0,19.2,66.875,19.966666666666665,10.916666666666666
2019-01-17,845,0,0,18.6,67.875,16.254166666666674,10.933333333333334
2019-01-18,682,0,0,18.9,79.20833333333333,8.387500000000001,10.95
2019-01-19,807,0,0,19,79.54166666666667,8.420833333333333,10.95
2019-01-20,893,0,0,19.8,77.875,14.10416666666667,10.966666666666667
2019-01-21,878,0,0,19.8,70.45833333333333,16.275000000000002,10.983333333333333
2019-01-22,836,0,0,19.6,74.25,12.916666666666664,11
2019-01-23,932,0,0,19.7,76.70833333333333,10.829166666666666,11.016666666666667
2019-01-25,702,0,0,21.2,70.79166666666667,14.166666666666666,11.05
2019-01-26,896,0,0,21.5,73.04166666666667,10.54166666666667,11.05
2019-01-27,930,0,0,21.2,73.29166666666667,10.358333333333333,11.066666666666666
2019-01-28,888,0,0,21.7,76.20833333333333,8.287500000000001,11.1
2019-01-29,912,0,0,21.6,74.04166666666667,9.333333333333332,11.1
2019-01-30,584,0,0,20,66.83333333333333,19.05,11.116666666666667
2019-01-31,886,0,0,20,53.875,21.879166666666666,11.15
2019-02-01,798,0,0,20.3,63.125,12.737500000000002,11.15
2019-02-02,925,0,0,19.8,74.75,9.000000000000002,11.166666666666666
2019-02-03,854,0,0,20.5,76.375,7.570833333333333,11.2
2019-02-04,919,0,0,21.4,70.16666666666667,16.741666666666664,11.2
2019-02-05,857,0,0,20.8,57.791666666666664,22.149999999999995,11.233333333333333
2019-02-06,921,0,0,20.5,60.666666666666664,19.091666666666665,11.233333333333333
2019-02-07,898,0,0,21.2,64.08333333333333,15.670833333333329,11.266666666666667
2019-02-08,848,0,0,22.3,63.541666666666664,15.933333333333335,11.283333333333333
2019-02-09,896,0,0,23.6,67,14.0875,11.3
2019-02-10,893,0,0,22.3,62.708333333333336,17.5,11.316666666666666
2019-02-11,883,0,0,21.2,63.916666666666664,22.174999999999997,11.333333333333334
2019-02-12,883,0,0,21.2,54.75,20.404166666666672,11.35
2019-02-13,940,0,0,21.8,60.666666666666664,18.5375,11.383333333333333
2019-02-14,918,0,0,22.7,63,17.154166666666665,11.383333333333333
