date,power_demand,load_shed,rainfall,mean_temperature,relativehumidity_2m,windspeed_10m,windspeed_100m,daytime_length
2023-01-01,3119,0,0,17.9,0,0,0,10.7
2023-01-02,3354,0,0,18.2,77.66666666666667,6.541666666666667,10.329166666666667,10.716666666666667
2023-01-03,3397,0,0,17.8,75.29166666666667,6.783333333333334,11.604166666666666,10.7
2023-01-04,3491,0,0,17.5,76.625,7.070833333333333,11.70833333333333,10.716666666666667
2023-01-05,3430,0,0,17.4,76.41666666666667,8.441666666666665,14.908333333333333,10.733333333333333
2023-01-06,2880,0,0,17.5,77.29166666666667,9.541666666666666,18.2625,10.733333333333333
2023-01-07,3349,0,0,17.8,78.70833333333333,9.170833333333333,17.524999999999995,10.733333333333333
2023-01-08,3325,134,0,18.7,79.33333333333333,6.600000000000001,12.845833333333333,10.75
2023-01-09,3352,401,0,19.3,80.70833333333333,6.266666666666666,12.33333333333333,10.766666666666667
2023-01-10,3342,0,0,18.8,77.91666666666667,6.858333333333333,14.291666666666666,10.766666666666667
2023-01-11,3338,0,0,17.7,73.625,7.454166666666666,15.604166666666666,10.783333333333333
2023-01-12,3262,120,0,17.1,69.5,7.429166666666668,15.14583333333333,10.8
2023-01-13,2849,0,0,18.8,73.91666666666667,6.920833333333333,11.995833333333335,10.8
2023-01-14,3296,53,0,20.2,69.625,5.624999999999999,7.150000000000001,10.816666666666666
2023-01-15,3073,0,0.2,20.4,78.41666666666667,5.3625,8.125,10.833333333333334
2023-01-16,3322,314,0,19.3,71.58333333333333,6.204166666666668,9.55,10.85
2023-01-17,3343,102,0,18,67.625,7.008333333333333,13.504166666666668,10.85
2023-01-18,3376,81,0,17.6,69.66666666666667,7.295833333333334,12.795833333333334,10.866666666666667
2023-01-19,3440,41,0,17.5,68.70833333333333,6.420833333333333,12.02083333333333,10.883333333333333
2023-01-20,2892,0,0,17.1,61.708333333333336,8.299999999999999,14.370833333333335,10.883333333333333
2023-01-21,3232,0,0,17.8,69.25,7.7416666666666645,12.8125,10.9
2023-01-22,3295,0,0,18.9,68.91666666666667,7.1375,10.329166666666667,10.916666666666666
2023-01-23,3444,0,0,19.8,70.20833333333333,6,8.633333333333335,10.95
2023-01-24,3446,0,0,20.7,72.875,5.245833333333334,7.195833333333333,10.95
2023-01-25,3552,0,0,20.8,71.41666666666667,6.487500000000002,9.633333333333335,10.966666666666667
2023-01-26,3665,22,0,21.5,73.45833333333333,6.158333333333334,10.041666666666666,10.983333333333333
2023-01-27,3097,0,0,21.5,74.75,6.712499999999999,9.229166666666664,11
2023-01-28,3508,0,0,21.5,74.33333333333333,6.983333333333333,12.070833333333335,11.016666666666667
2023-01-29,3633,0,0,20.4,74.04166666666667,7.612500000000001,14.337499999999999,11.033333333333333
2023-01-30,3645,0,0,20.4,71.41666666666667,7.599999999999999,13.524999999999997,11.066666666666666
2023-01-31,3648,30,0,21.6,73.66666666666667,6.383333333333333,9.283333333333333,11.066666666666666
2023-02-01,3619,56,0,21.3,74.08333333333333,6.170833333333333,10.475,11.083333333333334
2023-02-02,3608,0,0,19.6,75.41666666666667,7.916666666666665,15.012500000000001,11.116666666666667
2023-02-03,2988,0,0,19.2,61.625,10.666666666666666,19.8125,11.116666666666667
2023-02-04,3524,0,0,19.7,69.75,7.937499999999999,16.25833333333333,11.15
2023-02-05,3636,0,0,19.9,71.45833333333333,7.195833333333333,15.025,11.166666666666666
2023-02-06,3491,0,0,20.6,71.5,7.775000000000001,12.316666666666665,11.183333333333334
2023-02-07,3493,0,0,20.8,66.79166666666667,7.6375,11.008333333333335,11.2
2023-02-08,3627,10,0,21.9,67.20833333333333,8.775,13.600000000000003,11.233333333333333
2023-02-09,3662,30,0.9,22.1,76.25,7.4291666666666645,12.8125,11.233333333333333
2023-02-10,3073,0,0,21.5,79.16666666666667,5.083333333333335,6.720833333333334,11.266666666666667
2023-02-11,3532,0,0,22.8,62.833333333333336,8.249999999999998,13.258333333333331,11.266666666666667
2023-02-12,3639,60,0,23.3,65.25,5.908333333333335,9.041666666666666,11.3
2023-02-13,3586,0,0,21,71.625,8.854166666666664,14.533333333333333,11.333333333333334
2023-02-14,3599,0,0,19.4,46,9.970833333333333,17.56666666666667,11.333333333333334
2023-02-15,3756,0,0,19.9,54.291666666666664,8.041666666666666,13.316666666666668,11.366666666666667
2023-02-16,3614,0,0,20.6,61.125,7.079166666666668,10.291666666666668,11.383333333333333
2023-02-17,3131,0,0,22.3,61.875,5.675,7.520833333333333,11.4
2023-02-18,3655,0,0,22.7,59.916666666666664,4.316666666666666,5.374999999999999,11.433333333333334
2023-02-19,3871,0,0.5,22.9,67.625,4.750000000000001,8.4625,11.45
2023-02-20,3788,0,0.1,23.6,77.875,4.9541666666666675,7.516666666666667,11.483333333333333
2023-02-21,3208,0,0.2,23.9,73.04166666666667,5.474999999999999,7.158333333333331,11.483333333333333
2023-02-22,4101,0,0,25.1,75.41666666666667,8.091666666666667,12.799999999999999,11.516666666666667
2023-02-23,4011,0,0,25.3,74.5,13.570833333333335,22.920833333333334,11.533333333333333
2023-02-24,3672,0,0,24.8,70.83333333333333,10.829166666666671,18.7,11.566666666666666
2023-02-25,4023,0,0,25,75.83333333333333,6.395833333333333,10.124999999999998,11.583333333333334
2023-02-26,3977,0,0,24.5,69.29166666666667,6.724999999999998,10.875000000000002,11.6
2023-02-27,4213,0,0,24.7,57.833333333333336,7.179166666666667,11.949999999999998,11.616666666666667
2023-02-28,4168,0,0,24.9,59.541666666666664,7.7875000000000005,11.6875,11.65
2023-03-01,4249,0,0,24.8,58.5,6.329166666666666,10.045833333333333,11.666666666666666
2023-03-02,4293,0,0,25.3,54.833333333333336,6.270833333333335,10.720833333333333,11.7
2023-03-03,3674,0,0,25.4,58.708333333333336,5.270833333333333,7.333333333333332,11.716666666666667
2023-03-04,4269,0,0,25.6,58.875,7.612500000000001,13.258333333333335,11.733333333333333
2023-03-05,4381,29,0,26.2,60.333333333333336,6.154166666666668,9.541666666666666,11.75
2023-03-06,4552,0,0,25.8,62.458333333333336,7.0125,9.8,11.783333333333333
2023-03-07,3868,0,0,26.4,61.5,7.5625,11.166666666666666,11.8
2023-03-08,3524,0,0,25.4,54.666666666666664,6.004166666666667,9.029166666666667,11.833333333333334
