date,power_demand,load_shed,rainfall,mean_temperature,relativehumidity_2m,windspeed_100m
2018-02-24,3190,0,0,25,66.45833333333333,12.245833333333332
2018-02-25,3249,0,0,25.8,70.45833333333333,11.779166666666669
2018-02-26,3130,0,5.4,24,67.75,11.479166666666664
2018-02-27,3157,0,0,23.8,75.04166666666667,11.445833333333333
2018-02-28,3217,0,0,24.4,71.70833333333333,9.1
2018-03-01,3238,0,0,25,68.33333333333333,9.3375
2018-03-02,2725,0,0,25.5,65.25,8.462500000000002
2018-03-03,3340,0,0,26.4,64.66666666666667,10.495833333333334
2018-03-04,3358,0,0,26.8,65,22.337500000000002
2018-03-05,3326,0,0.3,26.3,69.54166666666667,19.495833333333334
2018-03-06,2650,0,0,26.5,76.08333333333333,15.258333333333335
2018-03-07,3383,0,0,25.3,56.458333333333336,12.191666666666665
2018-03-08,3367,0,0,24.1,50,12.237499999999999
2018-03-09,2803,0,0,25.1,53.208333333333336,11.725
2018-03-10,,,0,25.4,58.041666666666664,13.191666666666668
2018-03-11,3402,0,0,25.5,57.166666666666664,10.095833333333333
2018-03-12,3514,0,1.5,25.2,54.416666666666664,7.954166666666667
2018-03-13,3528,0,0.2,25.4,66.16666666666667,16.058333333333334
2018-03-14,3441,0,0,25.9,73.41666666666667,15.004166666666665
2018-03-15,3425,0,0.5,26.7,71.625,12.820833333333333
2018-03-16,3003,0,1.7,26.6,71.58333333333333,12.445833333333335
2018-03-17,3337,0,0.3,27.1,73.54166666666667,21.695833333333336
2018-03-18,3464,0,0,27,62.166666666666664,14.370833333333332
2018-03-19,3611,0,0,27,64.45833333333333,9.124999999999998
2018-03-20,3441,0,0,26.3,63.708333333333336,10
2018-03-21,3460,0,0,27,56.166666666666664,8.375000000000002
2018-03-22,3549,0,0.2,27.5,57.875,8.583333333333334
2018-03-23,3185,0,0.4,28.1,64.625,9.104166666666666
2018-03-24,3612,0,0,27.7,66.16666666666667,14.462499999999999
2018-03-25,3459,0,0,28.6,68.70833333333333,10.416666666666668
2018-03-26,2837,0,3.9,27.6,66.95833333333333,9.583333333333334
2018-03-27,3374,0,9.7,25.6,75.66666666666667,9.783333333333333
2018-03-28,3413,0,0.1,27,82.16666666666667,7.158333333333332
2018-03-29,3567,0,7.4,27.2,77.66666666666667,9.845833333333333
2018-03-30,2325,0,5.3,26.7,74.875,14.487499999999999
2018-03-31,3034,0,18.8,24.5,75.75,18.02083333333334
2018-04-01,3309,0,0,26.3,82.54166666666667,10.229166666666666
2018-04-02,3295,0,0,26.3,71.95833333333333,8.079166666666667
2018-04-03,3429,0,0.5,27.4,73.95833333333333,9.937500000000002
2018-04-04,3333,0,0,27.5,70.95833333333333,7.8
2018-04-05,3160,0,0.1,27.2,72.5,4.9624999999999995
2018-04-06,2986,0,16.8,24.9,72.66666666666667,10.116666666666667
2018-04-07,3432,0,0.6,26,84.33333333333333,10.958333333333336
2018-04-08,3227,0,1.2,26.7,81.45833333333333,7.329166666666667
2018-04-09,3559,0,1,26.8,78.41666666666667,10.470833333333335
2018-04-10,3278,0,2.8,26.8,75.5,7.700000000000003
2018-04-11,3174,0,4.7,26.8,77.04166666666667,9.508333333333333
2018-04-12,3318,0,16.7,26.8,80.375,9.9125
2018-04-13,3173,0,26.3,26.8,78.45833333333333,7.016666666666667
2018-04-14,2293,0,1,27.3,78.83333333333333,11.824999999999998
2018-04-15,3572,0,17.2,27.6,80.25,15.983333333333333
2018-04-16,3570,0,0.7,28.2,80.41666666666667,11.412500000000001
2018-04-17,3274,0,0.3,26.9,78.29166666666667,7.8374999999999995
2018-04-18,3577,0,13.8,26.5,83.83333333333333,11.908333333333333
2018-04-19,3580,0,11.9,25.2,82.5,13.5875
2018-04-20,2717,0,4.3,28,86.33333333333333,15.304166666666667
2018-04-21,2946,0,14,27.9,84.08333333333333,21.912500000000005
2018-04-22,3053,0,7.1,27.8,83.83333333333333,23.762500000000003
2018-04-23,3432,0,0.3,28.6,85.375,17.32083333333333
2018-04-24,3704,0,0.1,28.7,81.625,11.075000000000003
2018-04-25,3328,0,6.2,27.7,82.70833333333333,8.733333333333333
2018-04-26,,,13.2,26.3,81.29166666666667,12.120833333333332
2018-04-27,3051,0,1.2,26.9,81.75,12.575000000000001
2018-04-28,3578,0,0.5,27.4,76.75,9.370833333333332
2018-04-29,2796,0,17.5,25.5,76.875,11.079166666666664
2018-04-30,2816,0,6,24.5,87.45833333333333,15.541666666666664
2018-05-01,2445,0,5.8,25.3,88.04166666666667,13.266666666666666
2018-05-02,2415,0,10.1,25.9,83.66666666666667,12.720833333333337
2018-05-03,3150,0,19.8,25,82.125,12.158333333333331
2018-05-04,2759,0,32.2,25.4,86.95833333333333,12.029166666666669
2018-05-05,3198,0,26.3,25.2,88.5,13.9
2018-05-06,3565,0,14.5,27.8,90.95833333333333,10.674999999999999
2018-05-07,3539,0,9.9,28.3,83.91666666666667,20.958333333333336
2018-05-08,3805,0,4.1,28.8,83.79166666666667,25.450000000000006
2018-05-09,3548,0,8.2,27.5,83.16666666666667,26.72083333333333
2018-05-10,2995,0,1.6,27.6,86.29166666666667,23.879166666666663
2018-05-11,2585,0,22.5,26,86.79166666666667,17.245833333333334
2018-05-12,3341,0,25.5,25.3,88.20833333333333,15.000000000000002
2018-05-13,3308,0,12.9,25.7,85,11.158333333333333
2018-05-14,3518,0,34.5,25,86.95833333333333,13.658333333333333
2018-05-15,3575,0,1.6,26.9,87.875,12.437499999999998
2018-05-16,3180,0,23.9,25.6,83.45833333333333,13.4125
2018-05-17,3427,0,33.4,24.9,86.79166666666667,13.112499999999999
2018-05-18,2928,0,11.7,25.7,90.375,11.8125
2018-05-19,3457,0,11.2,25.7,87.83333333333333,14.5875
2018-05-20,3392,0,13.4,25.5,88.625,13.16666666666667
2018-05-21,3313,0,19,25.7,91,14.179166666666665
2018-05-22,3528,0,10.9,27.3,93.08333333333333,12.729166666666666
2018-05-23,3393,0,7.5,27.3,87.04166666666667,15.062499999999998
2018-05-24,3604,0,15.4,27,87.20833333333333,15.345833333333331
2018-05-25,3294,0,5.8,28.2,87.875,19.2625
2018-05-26,3847,0,2,29,83.54166666666667,23.625
2018-05-27,3941,0,0.1,29.4,81.625,22.5625
2018-05-28,4005,0,0,29.3,79.16666666666667,18.2625
2018-05-29,3928,0,0.2,29.5,78.70833333333333,12.320833333333338
2018-05-30,3432,0,0.3,29.5,77.58333333333333,7.866666666666666
2018-05-31,3464,0,26.9,27.6,75.83333333333333,11.320833333333335
2018-06-01,3090,0,15.8,27.5,89.41666666666667,16.954166666666662
2018-06-02,3733,0,23.1,27.3,87.95833333333333,11.829166666666666
2018-06-03,3665,0,1,28.2,88.66666666666667,10.304166666666667
2018-06-04,3908,0,2.4,28.3,84.45833333333333,12.441666666666665
2018-06-05,3942,0,6.3,28.5,84.08333333333333,12.595833333333333
2018-06-06,3986,0,1.7,28.9,83.33333333333333,9.595833333333333
2018-06-07,4118,0,0.5,29.5,83.625,9.5875
2018-06-08,3693,0,4.4,29.1,80.95833333333333,9.841666666666667
2018-06-09,3993,0,19.3,29.1,82.83333333333333,10.075
2018-06-10,3758,0,39.6,27.8,85.125,6.087500000000001
2018-06-11,3932,0,14.8,28,89.625,12.424999999999999
2018-06-12,3081,0,17,27.6,87.04166666666667,14.329166666666667
2018-06-13,3478,0,15.4,28.2,91.16666666666667,17.970833333333335
2018-06-14,3225,0,20.8,28.5,88.75,18.333333333333332
2018-06-15,2619,0,18.2,29,87,20.120833333333334
2018-06-16,2130,0,1.6,30,88.33333333333333,25.462499999999995
2018-06-17,2502,0,2.7,29.9,84.33333333333333,25.349999999999998
2018-06-18,2606,0,0.9,30.5,84.08333333333333,21
2018-06-19,2243,0,8.8,29.4,81.875,20.250000000000004
