date,power_demand,load_shed,rainfall,mean_temperature,mean_apparent_temperature,relativehumidity_2m,windspeed_10m,windspeed_100m,daytime_length,dewpoint_2m,cloudcover,soil_temperature_0_to_7cm
2020-01-01,230,0,0,19.6,20.6,0,0,0,10.766666666666667,0,0,0
2020-01-02,229,0,0.1,20.7,22.6,77.25,5.133333333333334,8.25,10.783333333333333,15.045833333333334,1.2916666666666667,20.462500000000002
2020-01-04,179,0,2.9,19.1,21.2,91.29166666666667,7.599999999999999,14.054166666666667,10.783333333333333,17.870833333333334,74.16666666666667,20.495833333333334
2020-01-05,194,0,0,18.6,19.7,90.95833333333333,3.7708333333333335,5.1499999999999995,10.8,17.466666666666672,72.5,20.2
2020-01-06,233,0,0,18,18.1,85.375,6.195833333333332,11.0625,10.783333333333333,15.875,78.375,20.124999999999996
2020-01-07,235,0,0,17.1,16.8,78.33333333333333,9.029166666666665,17.1125,10.8,13.879166666666665,9.875,19.587500000000002
2020-01-08,235,0,0,17.4,17.6,76.75,8.670833333333333,14.854166666666666,10.816666666666666,12.72916666666667,0.08333333333333333,18.69583333333334
2020-01-09,236,0,0.5,18.6,19.3,79.91666666666667,7.625,13.745833333333335,10.833333333333334,13.641666666666667,9.375,18.716666666666665
2020-01-10,215,0,0,18.9,19.3,81.875,7.795833333333334,14.87916666666667,10.833333333333334,15.241666666666667,36.5,19.425
2020-01-11,232,0,0,17.2,16.6,80.25,9.375000000000002,17.84166666666667,10.85,15.220833333333337,26.583333333333332,19.9125
2020-01-13,228,0,0,17.4,17.8,79.5,9.3875,17.958333333333332,10.85,13.633333333333331,1.5416666666666667,18.925000000000004
2020-01-14,238,0,0,17.5,18,81,7.020833333333333,12.412500000000001,10.866666666666667,13.875,5.375,18.991666666666667
2020-01-15,242,0,0,18.6,19.2,79.875,6.1208333333333345,9.820833333333335,10.883333333333333,13.6875,1.6666666666666667,18.937499999999996
2020-01-16,236,0,0,19.5,20.4,80.5,7.370833333333333,9.841666666666667,10.883333333333333,14.845833333333331,0,19.262499999999996
2020-01-17,230,0,0,20.4,21.5,80.29166666666667,7.883333333333333,10.987499999999999,10.9,15.637499999999996,0.041666666666666664,20.124999999999996
2020-01-18,240,0,0,20.5,21.8,77.83333333333333,8.070833333333331,12.225000000000001,10.933333333333334,15.995833333333332,0,21.000000000000004
2020-01-19,244,0,0,21.2,23.2,77,6.466666666666665,8.783333333333333,10.933333333333334,15.9125,0.08333333333333333,20.970833333333335
2020-01-20,241,0,0,20.4,21.5,78.45833333333333,3.975,5.941666666666667,10.95,16.95,20,21.05
